,Pelle,Slmb,Cactus,Dif,Dorsal,Toll,MyD88,Nec,Tube,Spz,Targets,model_id,timepoint
468,0.0,0.0,0.999819,0.001022,0.001,0.0,0.0,1.0,0.0,0.0,0.00341,bn_2,18.0
469,0.0,0.0,1.0,9e-06,0.000392,0.0,0.0,1.0,0.0,0.0,0.001346,bn_2,19.0
470,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0005,bn_2,20.0
471,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,bn_2,21.0
472,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,bn_2,22.0
473,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,bn_2,23.0
474,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,bn_2,24.0
475,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,bn_2,25.0
476,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,bn_2,26.0
477,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,bn_2,27.0
478,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,bn_2,28.0
479,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,bn_2,29.0
