,B,L,A,Lm,Am,M,Ge,C,Le,P,Lem,Rm,R,model_id,timepoint
14890,0.999247,0.998695,0.998212,1.000001,1.000001,1.000001,0.0,1.000001,0.0,0.9999319999999999,1.000001,0.0,0.005072999999999999,bn_693,10.0
14891,0.9994999999999999,0.999262,0.999825,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.000794,bn_693,11.0
14892,0.999555,0.9995,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,bn_693,12.0
14893,1.0,0.9995,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,bn_693,13.0
14894,1.0,0.9995,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,bn_693,14.0
14895,1.0,0.9995,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,bn_693,15.0
14896,1.0,0.9995,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,bn_693,16.0
14897,1.0,0.9995,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,bn_693,17.0
14898,1.0,0.999969,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,bn_693,18.0
14899,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,bn_693,19.0
14900,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,bn_693,20.0
14901,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,bn_693,21.0
14902,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,bn_693,22.0
14903,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,bn_693,23.0
14904,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,bn_693,24.0
14905,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,bn_693,25.0
14906,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,bn_693,26.0
14907,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,bn_693,27.0
14908,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,bn_693,28.0
14909,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,bn_693,29.0
14910,0.49237599999999987,0.39325400000000005,0.5804839999999988,0.6228979999999994,0.4064080000000001,0.48906000000000033,0.31755600000000017,0.553746999999999,0.6903129999999991,0.5098639999999992,0.31273700000000004,0.36254700000000006,0.4060639999999996,bn_890,0.0
14911,0.5248729999999999,0.3669069999999996,0.6428529999999998,0.8101099999999993,0.32676099999999975,0.6049719999999998,0.11780699999999995,0.7231669999999991,0.8825569999999993,0.5426699999999997,0.108079,0.243489,0.31933599999999973,bn_890,1.0
14912,0.6091509999999998,0.4504750000000001,0.6741099999999992,0.9132799999999992,0.355845,0.6915340000000001,0.04647699999999999,0.8568919999999992,0.9570129999999992,0.6165559999999999,0.04240800000000001,0.22704500000000002,0.2964600000000002,bn_890,2.0
14913,0.6770839999999996,0.559192,0.7052849999999996,0.9665579999999997,0.444378,0.7368639999999999,0.020065999999999997,0.9284969999999995,0.9862719999999997,0.6859089999999999,0.016715000000000004,0.227222,0.2867690000000001,bn_890,3.0
14914,0.718639,0.6418400000000003,0.7324140000000001,0.9873010000000001,0.54252,0.7529740000000004,0.008475,0.9660650000000001,0.995078,0.7208990000000002,0.005474000000000001,0.23121500000000003,0.266552,bn_890,4.0
14915,0.7418600000000001,0.6992800000000002,0.7455160000000004,0.9941520000000004,0.6231090000000002,0.7612960000000004,0.002641,0.9851320000000005,0.9971550000000005,0.7430100000000003,0.00233,0.23146500000000006,0.252986,bn_890,5.0
