,Ae,T,A,Aem,Am,Ara_minus,Ara_plus,Ge,C,MS,E,L,MT,model_id,timepoint
26399,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,bn_623,29.0
26400,0.6726979999999982,0.5517669999999991,0.6209789999999993,0.6821119999999993,0.5234119999999991,0.6870779999999992,0.609372,0.3150900000000004,0.5646269999999999,0.44316500000000003,0.4743400000000005,0.6101649999999985,0.629882999999999,bn_637,0.0
26401,0.874678000000001,0.6804570000000002,0.8151980000000005,0.8839150000000002,0.6667450000000001,0.8816609999999999,0.7584330000000004,0.11426300000000005,0.7266760000000001,0.4549829999999996,0.45441899999999946,0.7916499999999996,0.8019189999999999,bn_637,1.0
26402,0.9520990000000001,0.7990829999999998,0.912888,0.9589860000000002,0.820412,0.9547979999999997,0.8812569999999997,0.036733,0.8647530000000002,0.6032369999999997,0.5146050000000002,0.89289,0.9034800000000001,bn_637,2.0
26403,0.9816509999999997,0.8895939999999994,0.9668319999999997,0.9834569999999998,0.9168399999999998,0.9797149999999999,0.9471729999999998,0.015479999999999999,0.9340849999999996,0.7603579999999999,0.6300909999999998,0.9478280000000001,0.9596059999999996,bn_637,3.0
26404,0.993495,0.9424600000000001,0.98717,0.9953879999999999,0.9612299999999998,0.991278,0.9776759999999999,0.005109000000000001,0.967453,0.8587719999999999,0.751998,0.97357,0.9834609999999999,bn_637,4.0
26405,0.9974999999999998,0.9747769999999999,0.9960539999999998,0.9983799999999998,0.9835239999999998,0.9963199999999998,0.9926759999999999,0.001688,0.9860079999999998,0.9206099999999999,0.8410120000000001,0.9870909999999998,0.993896,bn_637,5.0
26406,0.9982019999999999,0.989344,0.997711,0.9996029999999999,0.9912289999999998,0.9987369999999999,0.9988109999999999,0.000152,0.995219,0.96426,0.906416,0.992982,0.998173,bn_637,6.0
26407,0.9993649999999998,0.994142,0.9988659999999999,0.9999989999999999,0.9969059999999998,0.9992829999999999,0.9997999999999999,0.0,0.9982129999999999,0.9859530000000001,0.9512710000000001,0.9966099999999999,0.999216,bn_637,7.0
26408,0.999499,0.997649,0.9994719999999999,0.999999,0.9989680000000001,0.999614,0.999999,0.0,0.999736,0.9950619999999999,0.9782859999999999,0.998115,0.999499,bn_637,8.0
26409,0.9995,0.998474,0.9995,1.0,0.9995,1.0,1.0,0.0,1.0,0.9980410000000001,0.992121,0.998592,0.999947,bn_637,9.0
26410,0.9996539999999999,0.998839,0.999499,0.999999,0.999499,0.999999,0.999999,0.0,0.999999,0.999752,0.996904,0.999132,0.999999,bn_637,10.0
26411,1.0,0.999767,0.99974,1.0,0.9994999999999999,1.0,1.0,0.0,1.0,1.0,0.9989119999999999,0.999612,1.0,bn_637,11.0
26412,1.0,1.0,1.0,1.0,0.9997879999999999,1.0,1.0,0.0,1.0,1.0,0.9998859999999999,1.0,1.0,bn_637,12.0
