Stat3,Aldh1L1,Mash1,Brn2,Hes5,Olig2,Myt1L,Scl,Pax6,Sox8,Zic1,Tuj1,model_id,timepoint
0.259,0.259,0.506,0.506,0.494,0.235,0.235,0.259,0.515,0.235,0.506,0.506,bn_411,19.0
0.41131600000000035,0.46682200000000007,0.48997100000000043,0.418918,0.5163940000000001,0.40576799999999985,0.5018950000000006,0.40722300000000017,0.5149890000000006,0.4754010000000004,0.49793000000000015,0.39671500000000015,bn_361,0.0
0.31536400000000026,0.38704,0.4791579999999999,0.39338899999999966,0.5213269999999991,0.30452000000000007,0.41068099999999963,0.32254299999999997,0.5149979999999995,0.39443,0.4985559999999999,0.32172399999999973,bn_361,1.0
0.27647700000000003,0.32871300000000003,0.478771,0.42408399999999996,0.5210010000000002,0.27526700000000004,0.341787,0.28928199999999993,0.515001,0.3339210000000001,0.4897300000000001,0.342352,bn_361,2.0
0.270266,0.295077,0.47917800000000005,0.4515350000000001,0.5209999999999998,0.26684300000000005,0.29550099999999996,0.27324200000000004,0.515,0.293064,0.48399000000000003,0.38760799999999995,bn_361,3.0
0.26701600000000003,0.268677,0.479,0.463016,0.5210000000000001,0.260856,0.2779569999999999,0.268864,0.5150000000000001,0.270844,0.479228,0.42764800000000003,bn_361,4.0
0.264499,0.26804,0.478998,0.4678059999999999,0.521,0.25873,0.267254,0.26664399999999994,0.514999,0.262282,0.47928599999999993,0.4523249999999999,bn_361,5.0
0.264768,0.265199,0.47900100000000007,0.470285,0.5209999999999999,0.257338,0.261382,0.265905,0.5150009999999999,0.259207,0.4782080000000001,0.461386,bn_361,6.0
0.265,0.26486,0.47899800000000003,0.47171900000000005,0.521,0.256652,0.25814499999999996,0.265,0.514998,0.257644,0.47799800000000003,0.46753,bn_361,7.0
0.265,0.265,0.4789999999999999,0.4749199999999999,0.5209999999999999,0.256,0.256449,0.265,0.514999,0.256,0.47871899999999995,0.472161,bn_361,8.0
0.265,0.265,0.479,0.477206,0.521,0.256,0.256,0.265,0.5149999999999999,0.256,0.479,0.47554799999999997,bn_361,9.0
0.265,0.265,0.479,0.478597,0.521,0.256,0.256,0.265,0.515,0.256,0.479,0.47742799999999996,bn_361,10.0
0.265,0.265,0.479,0.479,0.521,0.256,0.256,0.265,0.515,0.256,0.479,0.478633,bn_361,11.0
0.265,0.265,0.479,0.479,0.521,0.256,0.256,0.265,0.515,0.256,0.479,0.479,bn_361,12.0
0.265,0.265,0.479,0.479,0.521,0.256,0.256,0.265,0.515,0.256,0.479,0.479,bn_361,13.0
0.265,0.265,0.479,0.479,0.521,0.256,0.256,0.265,0.515,0.256,0.479,0.479,bn_361,14.0
0.265,0.265,0.479,0.479,0.521,0.256,0.256,0.265,0.515,0.256,0.479,0.479,bn_361,15.0
0.265,0.265,0.479,0.479,0.521,0.256,0.256,0.265,0.515,0.256,0.479,0.479,bn_361,16.0
0.265,0.265,0.479,0.479,0.521,0.256,0.256,0.265,0.515,0.256,0.479,0.479,bn_361,17.0
0.265,0.265,0.479,0.479,0.521,0.256,0.256,0.265,0.515,0.256,0.479,0.479,bn_361,18.0
0.265,0.265,0.479,0.479,0.521,0.256,0.256,0.265,0.515,0.256,0.479,0.479,bn_361,19.0
0.3875919999999988,0.45206099999999927,0.5115569999999996,0.43818999999999936,0.4009639999999997,0.48763400000000007,0.5087670000000001,0.5069649999999993,0.5029979999999998,0.49930299999999983,0.507273,0.5349170000000001,bn_1118,0.0
0.2393609999999999,0.34394699999999995,0.6065749999999994,0.35505000000000003,0.3034010000000004,0.4932469999999999,0.5142779999999997,0.5005780000000003,0.5029940000000002,0.4898019999999999,0.5460409999999994,0.5608989999999995,bn_1118,1.0
