model_id,Cluster,Attractor
bn_1607,13,8
bn_1608,21,13
bn_1609,65,12
bn_161,23,4
bn_1610,6,21
bn_1611,56,4
bn_1612,48,15
bn_1613,6,21
bn_1614,56,4
bn_1615,48,15
bn_1616,47,1
bn_1617,74,49
bn_1618,39,42
bn_1619,66,66
bn_162,43,21
bn_1620,28,53
bn_1621,53,63
bn_1622,47,1
bn_1623,8,68
bn_1624,39,42
bn_1625,66,72
bn_1626,28,53
bn_1627,53,58
bn_1628,5,14
bn_1629,15,40
bn_163,36,15
bn_1630,52,11
bn_1631,42,7
bn_1632,71,6
bn_1633,0,60
bn_1634,5,14
bn_1635,51,28
bn_1636,52,11
bn_1637,34,2
bn_1638,71,6
bn_1639,0,17
bn_164,14,10
bn_1640,11,41
bn_1641,26,48
bn_1642,25,46
bn_1643,16,57
bn_1644,11,25
bn_1645,30,43
bn_1646,11,41
bn_1647,26,74
bn_1648,25,46
bn_1649,16,19
bn_165,61,30
bn_1650,11,25
bn_1651,30,55
bn_1652,24,14
bn_1653,67,40
bn_1654,33,11
bn_1655,42,7
bn_1656,44,6
bn_1657,57,60
bn_1658,24,14
bn_1659,68,28
bn_166,9,3
bn_1660,33,11
bn_1661,22,2
bn_1662,44,6
bn_1663,49,17
bn_1664,10,31
bn_1665,10,31
bn_1666,56,4
bn_1667,56,4
bn_1668,10,31
bn_1669,10,31
bn_167,14,10
bn_1670,56,4
bn_1671,56,4
bn_1672,14,10
bn_1673,14,10
bn_1674,23,4
bn_1675,23,4
bn_1676,14,10
bn_1677,14,10
bn_1678,23,4
bn_1679,23,4
bn_168,61,30
bn_1680,2,39
bn_1681,55,61
bn_1682,2,39
bn_1683,35,26
bn_1684,33,11
bn_1685,42,7
bn_1686,33,11
bn_1687,22,2
bn_1688,29,35
bn_1689,17,34
bn_169,9,3
bn_1690,29,35
bn_1691,17,22
bn_1692,12,11
bn_1693,70,7
bn_1694,12,11
bn_1695,22,2
bn_1696,7,59
bn_1697,7,59
bn_1698,3,4
bn_1699,3,4
bn_17,55,61
bn_170,23,4
bn_1700,7,59
bn_1701,7,59
bn_1702,3,4
bn_1703,3,4
bn_1704,21,13
bn_1705,21,13
bn_1706,56,4
bn_1707,56,4
bn_1708,21,13
bn_1709,21,13
bn_171,43,21
bn_1710,56,4
bn_1711,56,4
bn_1712,39,42
bn_1713,66,66
bn_1714,39,42
bn_1715,66,72
bn_1716,52,11
bn_1717,34,7
bn_1718,52,11
bn_1719,34,2
bn_172,36,15
bn_1720,25,46
bn_1721,16,57
bn_1722,25,46
bn_1723,16,19
bn_1724,33,11
bn_1725,42,7
bn_1726,33,11
bn_1727,22,2
bn_1728,1,36
bn_1729,1,36
bn_173,23,4
bn_1730,10,31
bn_1731,10,31
bn_1732,6,21
bn_1733,6,21
bn_1734,56,4
bn_1735,56,4
bn_1736,1,36
bn_1737,1,36
bn_1738,10,31
bn_1739,10,31
bn_174,43,21
bn_1740,6,21
bn_1741,6,21
bn_1742,56,4
bn_1743,56,4
bn_1744,61,30
bn_1745,61,30
bn_1746,14,10
bn_1747,14,10
bn_1748,43,21
bn_1749,43,21
bn_175,36,15
bn_1750,23,4
bn_1751,23,4
bn_1752,61,30
bn_1753,61,30
bn_1754,14,10
bn_1755,14,10
bn_1756,43,21
bn_1757,43,21
bn_1758,23,4
bn_1759,23,4
bn_176,2,39
bn_1760,18,16
bn_1761,40,37
bn_1762,18,16
bn_1763,40,51
bn_1764,2,39
bn_1765,55,61
bn_1766,2,39
bn_1767,35,26
bn_1768,24,14
bn_1769,67,40
bn_177,55,61
bn_1770,24,14
bn_1771,15,5
bn_1772,33,11
bn_1773,42,7
bn_1774,33,11
bn_1775,22,2
bn_1776,4,64
bn_1777,41,54
bn_1778,4,64
bn_1779,20,75
bn_178,18,16
bn_1780,29,35
bn_1781,17,34
