,TF1,G1,G2,G3,TF2,G4,G5,G6,TF6,G7,G8,G9,TF3,TF4,TF5,TF7,model_id,timepoint
12,0.999999,0.999918,0.999954,0.999999,0.0,4.4e-05,9.999999999999999e-05,0.0,0.999999,0.999782,0.999877,0.99984,0.003998000000000001,0.001276,0.00019999999999999998,0.0,bn3,12.0
13,0.9999990000000001,0.9999990000000001,0.9999990000000001,0.9999990000000001,0.0,0.0,1.5e-05,0.0,0.9999990000000001,0.9998640000000001,0.999934,0.999994,0.002095,0.0006,0.000171,0.0,bn3,13.0
14,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.001115,0.000361,0.0001,0.0,bn3,14.0
15,0.999999,0.999999,0.999999,0.999999,0.0,0.0,0.0,0.0,0.999999,0.999999,0.999999,0.999999,0.000578,0.000234,0.0001,0.0,bn3,15.0
16,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.00039999999999999996,0.00019999999999999998,5.4e-05,0.0,bn3,16.0
17,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.000221,5.7e-05,0.0,0.0,bn3,17.0
18,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,bn3,18.0
19,0.0005340000000000001,3.9e-05,5.1000000000000006e-05,0.00011899999999999999,0.000601,2.2e-05,1.7e-05,7.099999999999999e-05,0.7357839999999998,0.9192130000000003,0.9187709999999998,0.9200309999999998,0.0036669999999999997,0.0192,0.08076500000000002,0.6331320000000001,bn4,0.0
20,0.012273,0.003304,0.0032369999999999994,0.003504999999999999,0.012886999999999997,0.0037289999999999997,0.0036250000000000006,0.0036600000000000005,0.6713720000000004,0.7568160000000005,0.7546570000000004,0.7584210000000002,0.047810000000000026,0.12336599999999996,0.24258800000000008,0.23315099999999994,bn4,1.0
21,0.044219,0.019932000000000002,0.019116999999999995,0.019778000000000004,0.04658100000000002,0.021997000000000003,0.020295000000000007,0.020387000000000006,0.7951059999999998,0.7499969999999997,0.7456200000000001,0.7479189999999999,0.13168500000000005,0.20995499999999986,0.25518500000000005,0.08544299999999999,bn4,2.0
22,0.08068099999999993,0.05017400000000004,0.04991600000000003,0.049023000000000025,0.083736,0.05085299999999998,0.05021999999999999,0.05067499999999998,0.8912259999999986,0.815387999999999,0.8159939999999991,0.8171959999999989,0.18475999999999987,0.21224199999999993,0.18502499999999994,0.03419600000000001,bn4,3.0
