,"Invasion_simulation_50.csv","Invasion_simulation_100.csv","Invasion_simulation_250.csv","Invasion_simulation_500.csv","Invasion_simulation_750.csv","Invasion_simulation_1000.csv","Invasion_simulation_2500.csv","Invasion_simulation_5000.csv","Invasion_simulation_7500.csv","Invasion_simulation_10000.csv"
30,0.13457439057567,0.148668179910217,0.198537766931507,0.224668711311573,0.188849963684593,0.184090520580501,0.210598749553325,0.179463658899879,0.243209677638744,0.213051013644467
31,0.133607144886968,0.139554481141167,0.198684169510176,0.189121798943307,0.18905589373958,0.183875513612458,0.17872886131558,0.165938473030405,0.244026875547411,0.213042155238844
32,0.11555119281989,0.140396155137129,0.199141637044824,0.171067258572652,0.189148936305436,0.184901134309244,0.155922256633954,0.166182948463176,0.244125589114116,0.21327082535009
33,0.103135706969034,0.140467362044673,0.181692002619516,0.156124803090057,0.189163839727776,0.184967145366537,0.155929999897807,0.159785265382786,0.24432469639205,0.213574481601099
34,0.095552768067616,0.140773233403755,0.182045019399367,0.156245761386568,0.184255478696609,0.185008145633146,0.156602042066073,0.159943482501734,0.244395788394685,0.192302945667331
35,0.093946152739763,0.1327243935887,0.182119524439029,0.156400849906107,0.184318783501983,0.185153503656586,0.157197492984367,0.145133155045421,0.244932424693541,0.147311382882141
36,0.094045736016978,0.130681575427468,0.18221364373936,0.156358442089614,0.170777212855896,0.166216697179046,0.157586577504224,0.130602527391662,0.24505097921377,0.140894836186755
37,0.094485673931205,0.130923676285075,0.182260520391493,0.142194065895876,0.170866317403388,0.161134156210342,0.143071104893232,0.131091681619811,0.245085395154262,0.141323842323192
38,0.091938010397601,0.131010293751866,0.182276208070137,0.1422602114664,0.170870196816197,0.161138036890087,0.143098378027803,0.131810314265892,0.226233164002801,0.14129962397183
39,0.091231789358391,0.131084175514994,0.166621076482638,0.142655696849521,0.170908991748904,0.161312682703029,0.140566238035454,0.131926897527736,0.226248914011335,0.141380611225815
40,0.09138615821578,0.131088064178725,0.166699253899039,0.127534650029737,0.171254980898494,0.14632734613297,0.140585723380764,0.132156762375375,0.212953385842971,0.141384496252813
41,0.083505414135027,0.131472476626394,0.15628830301331,0.127538529280816,0.167029584362153,0.146734008464368,0.140546663337184,0.132092242009169,0.213021680353452,0.14155454856585
42,0.080037044506957,0.128848179283761,0.140605241880446,0.120262825930747,0.167476016213106,0.144195631060523,0.136220595900206,0.116913979407426,0.213380004667203,0.139176547802263
43,0.080060137898416,0.12756489222418,0.121702023848545,0.120897166808162,0.154367748856878,0.144788452326731,0.136364093007238,0.11691785298993,0.213318656400899,0.139574210493498
44,0.080072677914989,0.122492810282334,0.115627773933267,0.120920418904644,0.139091101908483,0.145027076124534,0.136326471019662,0.113094960733877,0.191010782681887,0.139589785362959
45,0.077090392286115,0.122585175003632,0.115670280217714,0.109048631208435,0.138978721940834,0.145257145876668,0.136326560342477,0.113118181721873,0.183296244327977,0.13961704196067
46,0.077121162813576,0.106705866877453,0.110780649065486,0.109180451815367,0.138999329987169,0.141177615392946,0.117286453631104,0.113183609220181,0.180307039559497,0.139639663946313
47,0.07723656088045,0.106771748209323,0.111240928928692,0.109277085357666,0.139176665259063,0.131109945072339,0.117321349205972,0.113291992898215,0.150207332112067,0.140139659883163
48,0.073905677280879,0.105546419767593,0.111271822796772,0.109300278800241,0.122591900065221,0.127365418916971,0.113470093822842,0.107425351301618,0.122073855964482,0.136941976920554
49,0.073997716506045,0.105561934199099,0.111287270089105,0.108198292613344,0.122744001445168,0.120428680840763,0.113448554408213,0.107510400349043,0.118321859934015,0.137042316896349
50,0.071506913199973,0.105722558399282,0.111368372292934,0.108386109913973,0.118310921265487,0.120463730482584,0.113688936297724,0.100927049929675,0.117935635703817,0.130514271797947
51,0.071568381130197,0.09608346181229,0.106280905562737,0.108445403448701,0.118357376399639,0.120398441202732,0.113727784093353,0.101000392258855,0.118290001316988,0.126699980109335
52,0.072060465321446,0.086811535692266,0.105245969732671,0.104570994590779,0.112578673885903,0.120362381712245,0.113731668955906,0.097173376969497,0.113458671023537,0.126851870215632
53,0.072129656517869,0.086027457682212,0.105340745017799,0.104594198509423,0.109839560480486,0.121609372692694,0.113926818647321,0.09720423126862,0.113481983039143,0.126899644569594
54,0.074524281112803,0.083015697558628,0.094836889571565,0.111124336429439,0.120647599289671,0.107158912532592,0.104629400628186,0.11446602379662,0.113040030663907,0.11087057696631
55,0.074551529267935,0.082292153848179,0.09511186741603,0.102006117120756,0.120849479778263,0.107221056785228,0.104789146741344,0.114469903763348,0.113327008535831,0.110886063033158
56,0.072839368627575,0.082454661460936,0.095206960586774,0.102106663286019,0.120880541919256,0.099652024082843,0.105048973873856,0.114246836141408,0.108710892446799,0.105631721478796
57,0.072862528935585,0.082512706395298,0.095222419056978,0.099065898215223,0.120903839155831,0.099652386368301,0.10511878973285,0.114305091277789,0.10353270353377,0.105602367535487
58,0.065463026925127,0.082605585408551,0.095268795914538,0.095247288010614,0.122359356036461,0.099667895148077,0.105126940783085,0.114367233828946,0.103559750255366,0.101745702774865
59,0.065663732719215,0.08155143413627,0.091812945843122,0.095255017749672,0.122532893765775,0.09996406466352,0.10530847428862,0.114409198278166,0.103880888168191,0.101749565942921
60,0.065672431279906,0.081566912255548,0.091924621728902,0.09533971213341,0.122548448179009,0.099952191963911,0.106874725173844,0.114413082630957,0.103884753314387,0.101757292324067
61,0.065676285275682,0.075054892606465,0.091928483756551,0.095424412793757,0.122641779716175,0.099987100366557,0.102987057076849,0.117103163726989,0.104069911818959,0.101856620340665
62,0.066189128804703,0.075078073027772,0.089131467908574,0.095428278302681,0.122758456331817,0.093328907773928,0.103022006184349,0.11559434417546,0.09852301316165,0.101860483874344
63,0.062316775189069,0.07507829336621,0.086150102796778,0.095407108237677,0.122743885349823,0.089325715311038,0.103011502083343,0.107605354527572,0.098679269867233,0.097811678309316
64,0.060479761249104,0.075058976194112,0.086159532318972,0.095515349986498,0.117037972508881,0.089364404328533,0.100129261374592,0.107648069711774,0.098683141067076,0.097827117626447
65,0.060282990935458,0.075123553069665,0.086398467478994,0.095584263799533,0.117061278388876,0.089418571498366,0.100196331892956,0.107928524816605,0.098748953774319,0.098094187581798
66,0.060352015113174,0.073884516720549,0.085401073769076,0.095708329278809,0.113433613962236,0.084005563877209,0.100378754884659,0.107953471447643,0.096821049891569,0.098136658852569
67,0.058825981121929,0.07114003982821,0.085470601002925,0.09576633175635,0.113441400752215,0.084009699891945,0.096639804591637,0.108042821309042,0.091005319783942,0.098176328041543
68,0.055573455189957,0.065412815299778,0.08554097502207,0.091210087723591,0.113453081050867,0.08404061341445,0.08884950379294,0.108307445056103,0.091051713216998,0.094332561604715
69,0.055604230826752,0.065447350757354,0.085620777652764,0.091229452007127,0.110268996505921,0.084156547762312,0.088853374725742,0.104977842931236,0.091167706323146,0.094394287679368
