,Invasion_simulation_1000.csv,Invasion_simulation_2500.csv,Invasion_simulation_5000.csv,Invasion_simulation_7500.csv,Invasion_simulation_10000.csv
40,0.1463273461329698,0.14058572338076405,0.13215676237537488,0.2129533858429709,0.14138449625281346
41,0.1467340084643685,0.1405466633371839,0.1320922420091694,0.21302168035345193,0.14155454856585006
42,0.14419563106052286,0.1362205959002065,0.1169139794074263,0.21338000466720256,0.13917654780226324
43,0.14478845232673132,0.13636409300723798,0.1169178529899303,0.21331865640089936,0.13957421049349844
44,0.14502707612453397,0.1363264710196619,0.11309496073387744,0.1910107826818874,0.1395897853629591
45,0.14525714587666766,0.13632656034247703,0.11311818172187318,0.183296244327977,0.13961704196066976
46,0.14117761539294577,0.11728645363110364,0.11318360922018081,0.18030703955949678,0.1396396639463126
47,0.13110994507233936,0.1173213492059716,0.11329199289821532,0.1502073321120671,0.1401396598831628
48,0.1273654189169706,0.11347009382284165,0.1074253513016183,0.12207385596448167,0.13694197692055401
49,0.12042868084076304,0.11344855440821346,0.10751040034904256,0.11832185993401491,0.13704231689634916
50,0.12046373048258437,0.11368893629772422,0.10092704992967494,0.11793563570381727,0.1305142717979465
51,0.12039844120273206,0.11372778409335317,0.10100039225885457,0.11829000131698837,0.12669998010933473
52,0.12036238171224496,0.11373166895590568,0.09717337696949668,0.11345867102353685,0.1268518702156321
53,0.12160937269269396,0.11392681864732121,0.09720423126862039,0.11348198303914278,0.12689964456959435
54,0.10715891253259184,0.1046294006281863,0.11446602379662026,0.1130400306639069,0.11087057696631006
55,0.10722105678522777,0.1047891467413441,0.114469903763348,0.11332700853583086,0.11088606303315843
56,0.099652024082843,0.10504897387385631,0.11424683614140783,0.10871089244679887,0.1056317214787959
57,0.09965238636830044,0.10511878973285003,0.11430509127778915,0.10353270353377027,0.10560236753548657
58,0.09966789514807735,0.10512694078308503,0.1143672338289462,0.1035597502553664,0.10174570277486497
59,0.0999640646635195,0.10530847428861986,0.11440919827816592,0.10388088816819063,0.101749565942921
60,0.09995219196391078,0.10687472517384376,0.11441308263095726,0.10388475331438687,0.10175729232406684
61,0.09998710036655731,0.102987057076849,0.11710316372698862,0.10406991181895882,0.10185662034066477
62,0.09332890777392809,0.10302200618434869,0.11559434417545979,0.09852301316164953,0.10186048387434447
63,0.08932571531103792,0.10301150208334336,0.10760535452757236,0.09867926986723338,0.09781167830931595
64,0.08936440432853247,0.10012926137459233,0.10764806971177418,0.09868314106707633,0.09782711762644679
65,0.08941857149836623,0.10019633189295565,0.10792852481660473,0.0987489537743188,0.0980941875817975
66,0.08400556387720874,0.10037875488465947,0.10795347144764285,0.09682104989156913,0.09813665885256921
67,0.08400969989194523,0.09663980459163643,0.10804282130904205,0.09100531978394222,0.09817632804154264
68,0.08404061341444968,0.08884950379293984,0.10830744505610321,0.0910517132169978,0.09433256160471455
69,0.08415654776231152,0.08885337472574224,0.10497784293123556,0.09116770632314576,0.09439428767936818
70,0.08416427720384041,0.08893466781900539,0.10498949180839375,0.08855615697119411,0.09440586174661354
71,0.08420706332180611,0.08900912790190174,0.10503220552383938,0.08870668095960696,0.0941524879407093
72,0.08428463844678308,0.08898710252522306,0.10504773823825074,0.08871054849785175,0.09407222314571553
73,0.08429623427220123,0.08911935000182224,0.1016850469048836,0.08871441605124104,0.09408381081206396
74,0.08441579142567196,0.08912322219177775,0.09800876490655533,0.08880337395928808,0.0952725227160795
75,0.08442352294524866,0.08841692853071527,0.09035914010628511,0.08881884571770712,0.09527639033492852
76,0.08445472422897975,0.08434249500267481,0.09034160022759548,0.08570798237908038,0.09181064421604535
77,0.08446245609840553,0.08440445495588007,0.08787428860832057,0.08580489548152746,0.09182610190652966
78,0.08443262685361286,0.08441994555286511,0.08799477889958636,0.08582035737931246,0.08841217908438193
79,0.0844519566516837,0.08451676730070544,0.08797627859698276,0.08582422289163526,0.08501458458988327
80,0.08446355471250663,0.08452838654966088,0.08808127284596809,0.08299164290023124,0.08513477043818007
81,0.08453314594378188,0.08453225966308656,0.08809678468952577,0.08299936862143176,0.08517345351722586
82,0.08345976145113244,0.08332162352486677,0.08807707246081353,0.08301482024565485,0.08521600665726926
83,0.08041634862250353,0.08331054455013295,0.08810034182172423,0.08289422729334293,0.08522374378914935
84,0.0787633355898881,0.08337169167355493,0.0881203265133314,0.08294062755813851,0.08198734093095397
85,0.07884058390411908,0.0833578155423636,0.08814747565544254,0.08295636084877989,0.08203380704095932
86,0.07884444647922953,0.08336168777854475,0.08823668523569085,0.08296796150867838,0.0820802753445181
87,0.07884830906952149,0.08340401436893617,0.08809757534407338,0.08298729624551733,0.07963382205980622
88,0.0788910409157924,0.08338906278007654,0.08686486054416886,0.0757972392622874,0.07969578299817909
89,0.07892194370673616,0.08341229729639664,0.08329329248973241,0.07580904417030995,0.07967403217098618
90,0.07896057356193406,0.08344327750403223,0.08329716619044292,0.0758896624193462,0.07967790490798263
91,0.07706395464003742,0.07861532055019746,0.08330103990638801,0.0759012439679302,0.07953699325209393
92,0.07456538512160268,0.07787999240986447,0.08174945131229414,0.07431342049355023,0.07961445846129649
93,0.07456924785779605,0.07791096012758732,0.08176108240463525,0.07431728494837171,0.07962632604570354
94,0.07466560328039037,0.07797289849207593,0.08174609383422221,0.0746802017798474,0.07965344079517347
95,0.074727414843864,0.07694444008398586,0.08175772502127057,0.07469567166681534,0.0775223233338032
96,0.07476196705396179,0.07210248330571163,0.08176160211416607,0.07472274455622997,0.07752619489825609
97,0.07342500111102353,0.07215273806163139,0.0793093724460817,0.07474638779443707,0.07726241942232913
98,0.07343272549915349,0.0713319859410485,0.07934037106383654,0.07475799110455689,0.07737471291474657
99,0.06895683033726252,0.07133585100994726,0.0787823368877375,0.07477346239827591,0.07708177515872094
100,0.06894929897970814,0.07134358119352309,0.07882908291303017,0.07476594549612972,0.07709726380476738
101,0.06895701482140253,0.07140155951598941,0.0785212305739101,0.07476229641151144,0.07709749635940522
102,0.06886002825176865,0.07140929021841431,0.0785563482116313,0.07482418404099389,0.07277326545268686
103,0.06891404776112103,0.07141315559251842,0.07848946332662943,0.07482805214750958,0.07145524596947761
104,0.06899875681350885,0.07126956313121047,0.07850884160471534,0.07482053505654304,0.07146297961663707
105,0.06900647475354674,0.07127343051985181,0.07851659302296056,0.07487833892055991,0.06797147247131129
106,0.06902191081637685,0.07128890022720026,0.07852482659161847,0.07473644889507905,0.06801010799851911
107,0.06764171603244837,0.07134691380700195,0.07855195757878036,0.07364592622523297,0.06804874505311947
108,0.0657389296892988,0.06973057026747605,0.07855970942699513,0.0736536615131673,0.06806420030264983
109,0.06578558482041572,0.06971547683962115,0.07857569601619835,0.07367300000008516,0.06806806415322017
110,0.06578961132682648,0.06555268597713058,0.0785834481415235,0.07366687412319918,0.06808756333353037
111,0.06584382518295188,0.06556041410650701,0.07858732422712074,0.07044346831350516,0.06809142729902282
112,0.06583627029131071,0.06557200641529684,0.07859895257565216,0.07045119955240393,0.06551574688207389
113,0.0658251873972689,0.06561064843891075,0.07843894658578746,0.07045506519475934,0.06552346988183831
114,0.06435139059752834,0.06561837702720473,0.07843143277792432,0.07044752746931694,0.06553119294270936
115,0.06440172009503164,0.06562610567669082,0.0743395212109052,0.07042877974294022,0.06553891606468772
116,0.06031442085596601,0.0656376987656567,0.0743472678253823,0.07044424241010382,0.06327994827195135
117,0.06036068801552949,0.06549374505171676,0.07007527427833762,0.06779661585625145,0.06328380860220827
118,0.06036454371141891,0.06422241602955528,0.07012173668077323,0.06711714538266879,0.06328766894775005
119,0.060368399422579384,0.060949396405451904,0.07012560864724215,0.06714032059804083,0.06269537631864117
